child_name,status,parent_name,author1init,author1last,author2init,author2last,otherauthors,pubyr
Pseudochiridium,"belongs to",Pseudochiridiidae,"J. A.",Dunlop,D.,Penney,"D. Jekel",2013
Atemnidae,"belongs to",Cheliferoidea,"J. A.",Dunlop,D.,Penney,"D. Jekel",2013
Paratemnoides,"belongs to",Atemnidae,"J. A.",Dunlop,D.,Penney,"D. Jekel",2013
Dichela,"belongs to",Cheliferidae,"J. A.",Dunlop,D.,Penney,"D. Jekel",2013
Oligochelifer,"subjective synonym of",Dichela,"J. A.",Dunlop,D.,Penney,"D. Jekel",2013
Electrochelifer,"belongs to",Cheliferidae,"J. A.",Dunlop,D.,Penney,"D. Jekel",2013
Heurtaultia,"belongs to",Cheliferidae,"J. A.",Dunlop,D.,Penney,"D. Jekel",2013
Trachychelifer,"belongs to",Cheliferidae,"J. A.",Dunlop,D.,Penney,"D. Jekel",2013
Oligochernes,"belongs to",Chernetidae,"J. A.",Dunlop,D.,Penney,"D. Jekel",2013
Withiidae,"belongs to",Cheliferoidea,"J. A.",Dunlop,D.,Penney,"D. Jekel",2013
Beierowithius,"belongs to",Withiidae,"J. A.",Dunlop,D.,Penney,"D. Jekel",2013
Withius,"belongs to",Withiidae,"J. A.",Dunlop,D.,Penney,"D. Jekel",2013
"Chelifer wigandi","belongs to",Oligochernes,"J. A.",Dunlop,D.,Penney,"D. Jekel",2013
"Chelifer hartmanni","belongs to",Cheiridium,"J. A.",Dunlop,D.,Penney,"D. Jekel",2013
"Dichela berendtii","belongs to",Dichela,"J. A.",Dunlop,D.,Penney,"D. Jekel",2013
"Obisium sieboldtii","belongs to",Beierowithius,"J. A.",Dunlop,D.,Penney,"D. Jekel",2013
"Chelignathus kochii","belongs to",Chelignathus,"J. A.",Dunlop,D.,Penney,"D. Jekel",2013
Progonatemnus,"belongs to",Atemnidae,"J. A.",Dunlop,D.,Penney,"D. Jekel",2013
"Oligochelifer gracilis","belongs to",Dichela,"J. A.",Dunlop,D.,Penney,"D. Jekel",2013
"Oligochelifer serratidentatus","belongs to",Dichela,"J. A.",Dunlop,D.,Penney,"D. Jekel",2013
"Oligochelifer granulatus","belongs to",Dichela,"J. A.",Dunlop,D.,Penney,"D. Jekel",2013
Mayachernes,"belongs to",Chernetidae,F.,Riquelme,"D. F.",Piedra-Jiménez,"V. Córdova-Tabares",2014
"Mayachernes maatiatus","belongs to",Mayachernes,F.,Riquelme,"D. F.",Piedra-Jiménez,"V. Córdova-Tabares",2014
Chthoniidae,"belongs to",Chthonioidea,"M. L. I.",Judson,,,,2016
Paratemnoides,"belongs to",Atemninae,"M. L. I.",Judson,,,,2016
Tyrannochthoniini,"belongs to",Chthoniidae,"M. L. I.",Judson,,,,2016
Tyrannochthonius,"belongs to",Tyrannochthoniini,"M. L. I.",Judson,,,,2016
Atemninae,"belongs to",Atemnidae,"M. L. I.",Judson,,,,2016
Mayachernes,"subjective synonym of",Byrsochernes,"M. L. I.",Judson,,,,2016
